state,statefp,cd113fp,zip5
AK,02,00,99511
AK,02,00,99509
AK,02,00,99510
AK,02,00,99520
AK,02,00,99516
AK,02,00,99515
AK,02,00,99519
AK,02,00,99518
AK,02,00,99517
AK,02,00,99569
AK,02,00,99551
AK,02,00,99548
AK,02,00,99547
AK,02,00,99546
AK,02,00,99545
AK,02,00,99540
AK,02,00,99530
AK,02,00,99550
AK,02,00,99549
AK,02,00,99568
AK,02,00,99554
AK,02,00,99553
AK,02,00,99552
AK,02,00,99567
AK,02,00,99559
AK,02,00,99558
AK,02,00,99555
AK,02,00,99557
AK,02,00,99556
AK,02,00,99566
AK,02,00,99565
AK,02,00,99561
AK,02,00,99564
AK,02,00,99563
AK,02,00,99580
AK,02,00,99579
AK,02,00,99578
AK,02,00,99573
AK,02,00,99572
AK,02,00,99577
AK,02,00,99576
AK,02,00,99574
AK,02,00,99575
AK,02,00,99501
AK,02,00,99502
AK,02,00,99503
AK,02,00,99504
AK,02,00,99505
AK,02,00,99506
AK,02,00,99507
AK,02,00,99508
AK,02,00,99661
AK,02,00,99660
AK,02,00,99587
AK,02,00,99586
AK,02,00,99659
AK,02,00,99622
AK,02,00,99605
AK,02,00,99590
AK,02,00,99589
AK,02,00,99588
AK,02,00,99604
AK,02,00,99599
AK,02,00,99591
AK,02,00,99603
AK,02,00,99602
AK,02,00,99621
AK,02,00,99612
AK,02,00,99608
AK,02,00,99607
AK,02,00,99606
AK,02,00,99611
AK,02,00,99610
AK,02,00,99609
AK,02,00,99620
AK,02,00,99614
AK,02,00,99613
AK,02,00,99619
AK,02,00,99615
AK,02,00,99658
AK,02,00,99634
AK,02,00,99629
AK,02,00,99625
AK,02,00,99624
AK,02,00,99628
AK,02,00,99627
AK,02,00,99626
AK,02,00,99633
AK,02,00,99632
AK,02,00,99631
AK,02,00,99630
AK,02,00,99657
AK,02,00,99649
AK,02,00,99639
AK,02,00,99638
AK,02,00,99637
AK,02,00,99636
AK,02,00,99635
AK,02,00,99648
AK,02,00,99643
AK,02,00,99641
AK,02,00,99640
AK,02,00,99647
AK,02,00,99644
AK,02,00,99645
AK,02,00,99656
AK,02,00,99652
AK,02,00,99651
AK,02,00,99650
AK,02,00,99655
AK,02,00,99653
AK,02,00,99654
AL,01,01,36425
AL,01,01,36426
AL,01,01,36427
AL,01,01,36439
AL,01,01,36441
AL,01,01,36444
AL,01,01,36445
AL,01,01,36449
AL,01,01,36457
AL,01,01,36458
AL,01,01,36460
AL,01,01,36461
AL,01,01,36462
AL,01,01,36470
AL,01,01,36471
AL,01,01,36480
AL,01,01,36481
AL,01,01,36502
AL,01,01,36503
AL,01,01,36504
AL,01,01,36505
AL,01,01,36507
AL,01,01,36509
AL,01,01,36511
AL,01,01,36512
AL,01,01,36513
AL,01,01,36518
AL,01,01,36521
AL,01,01,36522
AL,01,01,36523
AL,01,01,36525
AL,01,01,36526
AL,01,01,36527
AL,01,01,36528
AL,01,01,36529
AL,01,01,36530
AL,01,01,36532
AL,01,01,36533
AL,01,01,36535
AL,01,01,36536
AL,01,01,36538
AL,01,01,36539
AL,01,01,36541
AL,01,01,36542
AL,01,01,36543
AL,01,01,36544
AL,01,01,36547
AL,01,01,36548
AL,01,01,36549
AL,01,01,36550
AL,01,01,36551
AL,01,01,36553
AL,01,01,36555
AL,01,01,36556
AL,01,01,36558
AL,01,01,36559
AL,01,01,36560
AL,01,01,36561
AL,01,01,36562
AL,01,01,36564
AL,01,01,36567
AL,01,01,36568
AL,01,01,36569
AL,01,01,36571
AL,01,01,36572
AL,01,01,36574
AL,01,01,36575
AL,01,01,36576
AL,01,01,36577
AL,01,01,36578
AL,01,01,36579
AL,01,01,36580
AL,01,01,36581
AL,01,01,36582
AL,01,01,36583
AL,01,01,36584
AL,01,01,36585
AL,01,01,36587
AL,01,01,36590
AL,01,01,36601
AL,01,01,36602
AL,01,01,36603
AL,01,01,36604
AL,01,01,36605
AL,01,01,36606
AL,01,01,36607
AL,01,01,36608
AL,01,01,36609
AL,01,01,36610
AL,01,01,36611
AL,01,01,36612
AL,01,01,36613
AL,01,01,36615
AL,01,01,36616
AL,01,01,36617
AL,01,01,36618
AL,01,01,36619
AL,01,01,36621
AL,01,01,36622
AL,01,01,36625
AL,01,01,36628
AL,01,01,36630
AL,01,01,36633
